SA2_2023_V1_00_Origin_CODE,SA2_2023_V1_00_Origin_NAME,SA2_2023_V1_00_Destination_CODE,SA2_2023_V1_00_Destination_NAME,work_2018_Work_at_home,work_2018_Drive_a_private_car_truck_or_van,work_2018_Drive_a_company_car_truck_or_van,work_2018_Passenger_in_a_car_truck_van_or_company_bus,work_2018_Public_bus,work_2018_Train,work_2018_Bicycle,work_2018_Walk_or_jog,work_2018_Ferry,work_2018_Other,work_2018_Total_stated,work_2023_Work_at_home,work_2023_Drive_a_private_car_truck_or_van,work_2023_Drive_a_company_car_truck_or_van,work_2023_Passenger_in_a_car_truck_van_or_company_bus,work_2023_Public_bus,work_2023_Train,work_2023_Bicycle,work_2023_Walk_or_jog,work_2023_Ferry,work_2023_Other,work_2023_Total_stated
101300,Peria,100700,Kaitaia East,0,75,12,0,0,0,0,0,0,0,90,0,78,12,0,0,0,0,0,0,0,93
101300,Peria,100800,Kaitaia West,0,27,0,0,0,0,0,0,0,0,27,0,33,0,0,0,0,0,0,0,0,42
101300,Peria,100900,Rangitihi,0,6,0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,0,0,15
101300,Peria,101000,Oruru-Parapara,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
101300,Peria,101101,Doubtless Bay,0,21,0,0,0,0,0,0,0,0,24,0,18,0,0,0,0,0,0,0,0,21
101300,Peria,101300,Peria,111,0,0,0,0,0,0,0,0,0,120,126,9,0,0,0,0,0,0,0,0,144
101300,Peria,103000,Kerikeri Central,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,9
101400,Taemaro-Oruaiti,100700,Kaitaia East,0,9,0,0,0,0,0,0,0,0,18,0,15,0,0,0,0,0,0,0,0,21
101400,Taemaro-Oruaiti,100800,Kaitaia West,0,12,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,15
101400,Taemaro-Oruaiti,101101,Doubtless Bay,0,45,9,6,0,0,0,0,0,0,60,0,69,15,0,0,0,0,0,0,0,84
101400,Taemaro-Oruaiti,101400,Taemaro-Oruaiti,87,0,0,0,0,0,0,0,0,0,99,129,15,6,0,0,0,0,0,0,0,150
101400,Taemaro-Oruaiti,101500,Whakapaku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
