SA2_code_usual_residence_address,SA2_name_usual_residence_address,SA2_usual_residence_easting,SA2_usual_residence_northing,SA2_code_workplace_address,SA2_name_workplace_address,SA2_workplace_easting,SA2_workplace_northing,Work_at_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,Train,Bicycle,Walk_or_jog,Ferry,Other,Total
355700,Tainui,1408239.995,4913703.783,353900,Otago Peninsula,1417313.005,4917527.755,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
249200,Johnsonville South,1751032.958,5434031.052,248900,Johnsonville Central,1751495.943,5434832.299,-999,21,-999,-999,-999,-999,-999,12,-999,-999,39
165600,Cape Hill,1769596.894,5882565.501,147900,Auckland Airport,1757873.858,5904865.704,-999,30,-999,-999,-999,-999,-999,-999,-999,-999,36
105500,Kamo West,1717209.459,6051872.672,107000,Woodhill-Vinetown,1718435.569,6045536.254,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
211400,Lucknow,1931982.949,5601628.185,210100,Tomoana,1931657.967,5606767.709,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,6
137400,Parnell East,1759352.661,5919586.999,131800,Freemans Bay,1756053.034,5920093.299,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18
126000,Summerland South,1743057.433,5917050.457,145900,Penrose,1762344.246,5912451.073,-999,27,12,-999,-999,-999,-999,-999,-999,-999,39
191800,Otawa,1888146.197,5810623.76,192800,Mount Maunganui North,1880025.496,5830498.396,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
135300,Symonds Street West,1757195.159,5919565.593,133800,Hobson Ridge South,1756737.43,5919843.318,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
160400,Alfriston,1770886.367,5902018.792,152700,Middlemore,1764081.673,5907928.505,-999,27,-999,-999,-999,-999,-999,-999,-999,-999,30
182700,Cambridge West,1816135.193,5803874.12,183500,Leamington West,1817236.332,5802040.01,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,21
101200,Herekino-Takahue,1633904.286,6105862.471,100500,Tangonge,1619918.067,6113278.371,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
116900,Fairview Heights,1753337.827,5935915.89,135300,Symonds Street West,1757195.159,5919565.593,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
105300,Kauri,1716506.553,6056388.259,106200,Tikipunga North,1719725.175,6050642.504,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
134600,Waima-Woodlands Park,1745620.032,5909795.875,147900,Auckland Airport,1757873.858,5904865.704,-999,33,6,-999,-999,-999,-999,-999,-999,-999,42
163000,Papakura North,1773199.401,5896983.845,149600,Otahuhu Industrial,1762760.644,5909094.333,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9
124900,Henderson Lincoln West,1744777.606,5919449.37,136100,Grafton,1757629.885,5919184.097,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9
215200,McLean Park,1936712.332,5619487.193,213400,Hospital Hill,1935597.036,5621622.442,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
132700,Hobson Ridge North,1757164.846,5920642.219,126600,Takapuna West,1757140.757,5927075.413,-999,-999,-999,-999,12,-999,-999,-999,-999,-999,15
178100,Dinsdale South,1797155.468,5814191.658,178900,Frankton Junction ,1799207.279,5814351.077,-999,204,75,12,-999,-999,9,6,-999,-999,312
248100,Churton Park North,1752078.017,5437713.385,244600,Taita South,1764313.422,5438864.08,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
302300,Wakefield,1603697.996,5415658.271,304700,Nelson Central-Trafalgar,1623627.722,5430927.274,-999,51,18,-999,-999,-999,-999,-999,-999,-999,69
146900,Oneroa East-Palm Beach,1783133.076,5927648.717,148700,Ostend,1783102.916,5926166.089,-999,48,9,-999,9,-999,-999,-999,-999,-999,75
244700,Petone East,1758466.916,5434562.131,248000,Grenada North,1754248.677,5439933.469,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
184400,Sherwin Park,1805059.956,5789652.396,178900,Frankton Junction ,1799207.279,5814351.077,-999,21,-999,-999,-999,-999,-999,-999,-999,-999,27
123300,Glenfield South West,1752832.916,5927119.489,133200,Queen Street,1757384.655,5920563.801,-999,9,-999,-999,30,-999,-999,-999,-999,-999,45
229600,Takaro North,1820699.571,5530165.988,230800,Terrace End,1823693.948,5530989.122,-999,6,-999,-999,-999,-999,-999,-999,-999,-999,9
137200,Blockhouse Bay North,1751132.642,5913265.733,141500,Epsom East,1758446.314,5915266.925,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12
142600,Royal Oak West (Auckland),1757619.09,5913639.854,157600,Wiri West,1765702.429,5902587.403,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,15
245200,Avalon East,1763059.271,5437682.581,244100,Taita North,1764804.118,5440370.366,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
223200,Waiouru,1830336.387,5627659.451,223100,Ohakune,1807884.168,5634768.02,-999,12,-999,-999,-999,-999,-999,-999,-999,-999,12
313400,Loburn,1560763.266,5213456.439,313300,Starvation Hill-Cust,1548306.166,5206491.748,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6
195300,Yatton Park,1877316.788,5820387.152,195400,Pyes Pa North,1875629.49,5818291.801,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,15
129500,Glendene South,1747385.614,5915285.841,128700,Rosebank Peninsula,1749344.815,5917033.048,-999,57,-999,-999,-999,-999,-999,-999,-999,-999,66
141700,Epsom South,1757355.009,5914276.544,133800,Hobson Ridge South,1756737.43,5919843.318,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
150000,Harania North,1761157.535,5907844.239,136400,Parnell West,1758501.104,5919538.513,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,9
194600,Gate Pa,1876388.153,5821077.944,194800,Tauranga South,1878289.865,5821843.098,-999,69,9,-999,-999,-999,-999,9,-999,-999,102
135800,St Lukes,1754291.715,5916839.873,145500,Onehunga-Te Papapa Industrial,1759864.198,5911824.346,-999,9,-999,-999,-999,-999,-999,-999,-999,-999,12
230800,Terrace End,1823693.948,5530989.122,231200,West End,1821039.784,5528146.019,-999,15,-999,-999,-999,-999,-999,-999,-999,-999,18
241400,Heretaunga,1769453.448,5443872.888,250900,Thorndon,1748602.204,5429478.11,-999,6,-999,-999,-999,21,-999,-999,-999,-999,36
327000,Christchurch Central-East,1571356.614,5180397.694,325800,Christchurch Central-North,1570932.855,5181006.925,-999,9,-999,-999,-999,-999,-999,6,-999,-999,15
